"Load (N)","Extension (mm)","loadr","extensionr"
"0","0","0","0"
"339.85","-30.047","0","0"
"340.21","-30.025","0.35999999999996","0.022000000000002"
"340.57","-30.003","0.71999999999997","0.044"
"340.92","-29.981","1.07","0.065999999999999"
"336.93","-29.959","-2.92","0.088000000000001"
"336.62","-29.937","-3.23","0.11"
"336.84","-29.915","-3.01","0.132"
"337.05","-29.893","-2.8","0.154"
"337.27","-29.871","-2.58","0.176"
"337.49","-29.849","-2.36","0.198"
"337.71","-29.827","-2.14","0.22"
"337.93","-29.805","-1.92","0.242"
"338.15","-29.783","-1.7","0.264"
"338.35","-29.761","-1.5","0.286"
"338.48","-29.739","-1.37","0.308"
"338.61","-29.717","-1.24","0.33"
"338.74","-29.695","-1.11","0.352"
"338.87","-29.673","-0.98000000000002","0.374"
"339","-29.651","-0.85000000000002","0.396"
"339.13","-29.629","-0.72000000000003","0.418"
"339.26","-29.607","-0.59000000000003","0.44"
"339.39","-29.585","-0.46000000000004","0.462"
"339.52","-29.563","-0.33000000000004","0.484"
"339.65","-29.541","-0.20000000000005","0.506"
"339.78","-29.519","-0.07000000000005","0.528"
"339.91","-29.497","0.060000000000002","0.55"
"340.04","-29.475","0.19","0.572"
"340.17","-29.453","0.31999999999999","0.594"
"340.3","-29.431","0.44999999999999","0.616"
"340.64","-29.409","0.78999999999996","0.638"
"340.98","-29.387","1.13","0.66"
"341.32","-29.365","1.47","0.682"
"341.67","-29.343","1.82","0.704"
"341.52","-29.321","1.67","0.726"
"339.66","-29.299","-0.19","0.748"
"339.51","-29.277","-0.34000000000003","0.77"
"339.36","-29.255","-0.49000000000001","0.792"
"339.21","-29.233","-0.64000000000004","0.814"
"339.05","-29.211","-0.80000000000001","0.836"
"338.9","-29.189","-0.95000000000005","0.858"
"338.75","-29.167","-1.1","0.88"
"338.6","-29.145","-1.25","0.902"
"338.44","-29.123","-1.41","0.924"
"338.29","-29.101","-1.56","0.946"
"338.14","-29.079","-1.71","0.968"
"337.99","-29.057","-1.86","0.99"
"337.81","-29.035","-2.04","1.012"
"337.53","-29.013","-2.3200000000001","1.034"
"337.25","-28.991","-2.6","1.056"
"336.97","-28.969","-2.88","1.078"
"336.69","-28.947","-3.16","1.1"
"336.41","-28.925","-3.44","1.122"
"336.13","-28.903","-3.72","1.144"
"335.84","-28.881","-4.0100000000001","1.166"
"335.56","-28.859","-4.29","1.188"
"335.28","-28.837","-4.5700000000001","1.21"
"343.41","-28.815","3.56","1.232"
"343.64","-28.793","3.79","1.254"
"343.88","-28.771","4.03","1.276"
"344.11","-28.749","4.26","1.298"
"344.35","-28.727","4.5","1.32"
"344.58","-28.705","4.73","1.342"
"344.93","-28.683","5.08","1.364"
"345.28","-28.661","5.4299999999999","1.386"
"345.63","-28.639","5.78","1.408"
"346.2","-28.617","6.35","1.43"
"347.16","-28.595","7.31","1.452"
"348.13","-28.573","8.28","1.474"
"349.1","-28.551","9.25","1.496"
"350.06","-28.529","10.21","1.518"
"351.03","-28.507","11.18","1.54"
"361.58","-28.485","21.73","1.562"
"380.99","-28.463","41.14","1.584"
"419.08","-28.441","79.23","1.606"
"469.72","-28.419","129.87","1.628"
"527.7","-28.397","187.85","1.65"
"589.78","-28.375","249.93","1.672"
"653.08","-28.353","313.23","1.694"
"720.57","-28.331","380.72","1.716"
"788.05","-28.309","448.2","1.738"
"857.72","-28.287","517.87","1.76"
"930.46","-28.265","590.61","1.782"
"1003.2","-28.243","663.35","1.804"
"1073","-28.221","733.15","1.826"
"1141.8","-28.199","801.95","1.848"
"1209.9","-28.177","870.05","1.87"
"1278.1","-28.155","938.25","1.892"
"1346.2","-28.133","1006.35","1.914"
"1413","-28.111","1073.15","1.936"
"1477.4","-28.089","1137.55","1.958"
"1541.7","-28.067","1201.85","1.98"
"1602.2","-28.045","1262.35","2.002"
"1638.7","-28.023","1298.85","2.024"
"1683.4","-28.001","1343.55","2.046"
"1703.2","-27.979","1363.35","2.068"
"1659","-27.957","1319.15","2.09"
"1614.3","-27.935","1274.45","2.112"
"1474.5","-27.913","1134.65","2.134"
